Year,Word,Frequency
2014,every,151
2014,high,150
2014,money,146
2014,stay,145
2014,good,144
2014,thing,143
2014,woo,140
2014,turn,136
2014,run,131
2014,low,131
2014,said,130
2014,wait,122
2014,away,122
2014,new,122
2014,shout,120
2014,hold,118
2014,world,117
2014,bad,115
2014,side,115
2014,mind,113
2014,gon,112
2014,nah,110
2014,show,110
2014,ever,106
2014,woah,106
2014,home,105
2014,fall,101
2014,put,99
2014,cut,99
2014,shake,98
2014,huh,98
2014,pretty,97
2014,better,96
2014,around,96
2014,really,95
2014,going,95
2014,call,94
2014,would,94
2014,leave,93
2014,long,93
2014,tonight,92
2014,yet,91
2014,even,90
2014,shit,89
2014,save,87
2014,dance,87
2014,care,84
2014,roll,83
2014,lie,82
2014,hurts,80
2014,play,80
2014,eyes,79
2014,real,79
2014,last,78
2014,bang,78
2014,hit,77
2014,might,77
2014,alone,76
2014,feeling,76
2014,top,76
2014,hol,76
2014,kiss,75
2014,always,75
2014,bout,74
2014,tryna,72
2014,remember,71
2014,ride,71
2014,made,70
2014,something,70
2014,dream,70
2014,gettin,69
2014,believe,69
2014,done,69
2014,told,69
2014,place,68
2014,lost,67
2014,hoo,67
2014,beat,67
2014,well,66
2014,name,66
2014,everything,66
2015,nigga,265
2015,fuck,244
2015,night,235
2015,back,233
2015,heart,224
2015,could,217
2015,away,209
2015,think,200
2015,bitch,197
2015,look,190
2015,life,187
2015,give,183
2015,hold,182
2015,thing,182
2015,keep,177
2015,good,174
2015,shit,168
2015,run,164
2015,money,163
2015,still,163
2015,day,160
2015,home,159
2015,ayy,155
2015,call,154
2015,light,153
2015,high,149
2015,die,149
2015,would,145
2015,cry,143
2015,woah,140
2015,stay,140
2015,better,139
2015,wait,139
2015,ever,136
2015,always,128
2015,eyes,126
2015,watch,126
2015,fall,125
2015,woo,125
2015,face,124
2015,world,124
2015,every,123
2015,show,122
2015,mind,122
2015,everything,119
2015,man,117
2015,even,117
2015,try,112
2015,around,111
2015,really,110
2015,hands,108
2015,put,105
2015,forget,104
2015,head,102
2015,knows,101
2015,friends,99
2015,new,97
2015,shot,96
2015,little,96
2015,body,96
2015,said,95
2015,nobody,95
2015,feeling,94
2015,alright,93
2015,old,92
2015,talk,92
2015,used,90
2015,much,89
2015,gon,88
2015,long,88
2015,without,88
2015,left,86
2015,live,85
2015,lost,84
2015,real,81
2015,lie,81
2015,play,81
2015,might,81
2015,word,80
2015,turn,80
2015,walk,80
2015,fire,80
2015,loved,80
2015,dance,80
2015,dream,79
2015,two,78
2015,tonight,77
2015,hope,77
2015,ass,77
2015,lay,76
2015,low,75
2015,find,75
2015,cold,75
2015,young,74
2015,place,74
2015,lose,74
2015,fuckin,74
2015,runnin,74
2015,stop,74
2015,bout,73
2016,low,401
2016,back,312
2016,nigga,267
2016,keep,243
2016,give,242
2016,night,233
2016,every,232
2016,fuck,229
2016,work,226
2016,good,225
2016,shit,215
2016,day,212
2016,bitch,208
2016,said,208
2016,look,196
2016,things,172
2016,think,170
2016,mind,165
2016,still,164
2016,hold,161
2016,woah,158
2016,gon,156
2016,ever,149
2016,woo,143
2016,heart,142
2016,life,142
2016,put,141
2016,could,139
2016,turn,137
2016,fall,131
2016,ayy,128
2016,call,127
2016,feeling,125
2016,young,124
2016,bout,123
2016,home,122
2016,show,121
2016,made,119
2016,man,118
2016,around,118
2016,talk,117
2016,else,116
2016,even,115
2016,always,115
2016,away,114
2016,would,114
2016,try,113
2016,little,113
2016,high,112
2016,side,111
2016,going,111
2016,body,108
2016,tonight,107
2016,light,106
2016,head,104
2016,money,101
2016,eyes,101
2016,mama,100
2016,okay,98
2016,nothin,98
2016,name,98
2016,stay,97
2016,close,96
2016,die,96
2016,dance,94
2016,real,94
2016,new,93
2016,better,93
2016,leave,93
2016,pull,92
2016,place,92
2016,hard,90
2016,lie,90
2016,run,89
2016,well,86
2016,hands,85
2016,somethin,85
2016,nothing,84
2016,miss,82
2016,watch,82
2016,really,81
2016,babe,81
2016,friends,80
2016,hit,79
2016,goin,79
2016,tryna,78
2016,alright,78
2016,god,77
2016,smoke,77
2016,bad,77
2016,comin,76
2016,alone,76
2016,nah,76
2016,nobody,75
2016,world,75
2016,stop,74
2016,swear,74
2016,hate,74
2016,everything,74
2016,wait,74
2017,bitch,316
2017,ayy,278
2017,nigga,270
2017,back,256
2017,fuck,225
2017,look,205
2017,hold,204
2017,good,197
2017,keep,192
2017,call,188
2017,life,181
2017,could,175
2017,said,163
2017,day,153
2017,still,152
2017,heart,148
2017,home,148
2017,better,144
2017,give,142
2017,made,141
2017,put,138
2017,think,137
2017,bad,137
2017,gon,134
2017,shit,130
2017,run,128
2017,light,121
2017,away,121
2017,things,119
2017,every,118
2017,little,116
2017,try,116
2017,mind,111
2017,even,110
2017,night,110
2017,feels,108
2017,would,107
2017,someone,100
2017,show,100
2017,man,99
2017,play,99
2017,hands,98
2017,face,98
2017,friends,98
2017,woo,98
2017,woah,97
2017,really,96
2017,leave,93
2017,world,93
2017,body,92
2017,hit,92
2017,okay,92
2017,die,92
2017,enough,90
2017,ride,89
2017,new,88
2017,doo,88
2017,stay,88
2017,wait,86
2017,long,86
2017,eyes,85
2017,mean,85
2017,vibe,85
2017,told,84
2017,hard,84
2017,lie,83
2017,mama,82
2017,talk,82
2017,skrrt,82
2017,well,81
2017,thunder,81
2017,sorry,81
2017,might,81
2017,fall,80
2017,end,80
2017,nope,80
2017,always,79
2017,tryna,79
2017,head,78
2017,money,78
2017,maybe,78
2017,going,78
2017,ever,77
2017,til,76
2017,god,76
2017,lil,76
2017,start,76
2017,move,75
2017,gang,75
2017,tryin,75
2017,huh,74
2017,drop,74
2017,mine,73
2017,high,73
2017,tam,73
2017,cry,72
2017,wild,72
2017,nah,71
2017,first,70
2017,left,70
2018,nigga,280
2018,bitch,268
2018,fuck,259
2018,could,232
2018,back,226
2018,mind,212
2018,life,212
2018,night,211
2018,shit,206
2018,ayy,196
2018,day,192
2018,look,189
2018,walk,185
2018,keep,182
2018,give,177
2018,man,169
2018,gon,168
2018,talk,167
2018,put,162
2018,call,155
2018,think,154
2018,bad,148
2018,woah,141
2018,said,140
2018,woo,135
2018,thing,133
2018,high,132
2018,friends,132
2018,still,130
2018,kiss,129
2018,fall,125
2018,heart,124
2018,til,123
2018,every,120
2018,taste,120
2018,around,116
2018,leave,116
2018,money,116
2018,really,115
2018,even,115
2018,hit,114
2018,feeling,109
2018,real,107
2018,head,105
2018,away,104
2018,good,103
2018,always,102
2018,stay,100
2018,everything,100
2018,lot,99
2018,little,99
2018,nothing,97
2018,tryna,97
2018,try,97
2018,wasted,96
2018,break,96
2018,world,95
2018,ever,95
2018,god,90
2018,hope,89
2018,made,89
2018,nobody,89
2018,better,88
2018,might,88
2018,wait,88
2018,hard,86
2018,live,86
2018,mmm,85
2018,used,83
2018,tonight,83
2018,turn,82
2018,light,82
2018,young,82
2018,someone,81
2018,name,81
2018,check,80
2018,huh,80
2018,wish,79
2018,side,77
2018,hold,75
2018,left,75
2018,woman,74
2018,hands,72
2018,ball,72
2018,move,71
2018,goin,71
2018,run,71
2018,new,70
2018,next,70
2018,much,69
2018,lie,69
2018,solo,69
2018,would,68
2018,alone,68
2018,dance,68
2018,fly,68
2018,close,67
2018,watch,67
2018,die,67
2018,told,67
2019,nigga,283
2019,bitch,233
2019,fuck,213
2019,night,201
2019,back,201
2019,could,193
2019,things,185
2019,call,184
2019,heart,180
2019,shit,177
2019,good,174
2019,keep,171
2019,look,168
2019,think,159
2019,ayy,157
2019,bad,149
2019,said,143
2019,ever,142
2019,still,139
2019,would,132
2019,put,128
2019,lose,126
2019,leave,125
2019,man,125
2019,give,125
2019,every,121
2019,turn,120
2019,friends,114
2019,run,112
2019,dance,112
2019,ride,112
2019,day,111
2019,gon,110
2019,okay,108
2019,even,105
2019,away,105
2019,hold,105
2019,home,104
2019,play,103
2019,life,99
2019,hate,96
2019,stay,94
2019,new,91
2019,try,91
2019,around,90
2019,long,87
2019,songs,87
2019,woo,86
2019,lie,85
2019,woah,84
2019,nobody,84
2019,lonely,84
2019,show,83
2019,eyes,83
2019,high,83
2019,tryna,81
2019,falling,81
2019,mind,80
2019,bout,79
2019,bring,79
2019,everything,79
2019,two,79
2019,hands,78
2019,hope,78
2019,feeling,77
2019,thought,77
2019,tonight,77
2019,gone,76
2019,start,76
2019,huh,76
2019,walk,75
2019,really,74
2019,doo,74
2019,talk,74
2019,always,73
2019,hot,73
2019,alone,73
2019,head,70
2019,much,68
2019,hit,68
2019,touch,67
2019,face,67
2019,find,67
2019,better,65
2019,mine,64
2019,low,64
2019,care,64
2019,money,64
2019,end,63
2019,please,63
2019,break,63
2019,dream,62
2019,hurt,62
2019,lil,62
2019,stop,61
2019,wait,60
2019,real,60
2019,wrong,59
2019,whole,58
2019,might,58
2020,bitch,316
2020,nigga,288
2020,keep,228
2020,back,216
2020,shit,208
2020,fuck,203
2020,look,180
2020,day,180
2020,night,176
2020,woah,176
2020,think,172
2020,ody,172
2020,things,157
2020,still,155
2020,life,152
2020,put,149
2020,ayy,147
2020,give,144
2020,always,141
2020,diamonds,135
2020,tryna,135
2020,could,133
2020,call,132
2020,eyes,130
2020,stop,127
2020,stay,125
2020,run,122
2020,heart,117
2020,head,117
2020,even,116
2020,would,113
2020,play,110
2020,away,109
2020,leave,108
2020,mind,108
2020,lil,108
2020,said,106
2020,gon,104
2020,okay,102
2020,better,100
2020,woo,100
2020,try,100
2020,bout,100
2020,home,99
2020,man,99
2020,show,95
2020,told,94
2020,dance,92
2020,hold,92
2020,around,92
2020,good,90
2020,bust,90
2020,every,88
2020,til,88
2020,money,87
2020,hit,87
2020,side,87
2020,believe,86
2020,bum,86
2020,new,84
2020,feeling,83
2020,real,83
2020,ever,82
2020,really,82
2020,alone,81
2020,find,81
2020,light,79
2020,people,79
2020,dum,79
2020,somebody,79
2020,another,77
2020,honey,77
2020,bring,76
2020,everything,76
2020,made,75
2020,body,75
2020,world,75
2020,fly,74
2020,pull,74
2020,runnin,74
2020,lose,73
2020,turn,73
2020,tonight,72
2020,god,72
2020,mmm,71
2020,savage,71
2020,big,70
2020,ride,68
2020,hand,68
2020,used,68
2020,rain,68
2020,sometimes,67
2020,little,67
2020,talk,67
2020,wait,67
2020,done,66
2020,watch,65
2020,friend,65
2020,bad,65
2020,first,65
2021,back,209
2021,run,183
2021,shit,177
2021,ayy,173
2021,think,172
2021,fuck,165
2021,could,160
2021,bitch,154
2021,dance,150
2021,call,149
2021,night,148
2021,look,144
2021,day,143
2021,keep,139
2021,leave,132
2021,nigga,128
2021,things,125
2021,life,125
2021,put,124
2021,woah,122
2021,better,122
2021,mind,118
2021,mmm,117
2021,away,115
2021,said,115
2021,lost,115
2021,good,113
2021,heart,105
2021,give,105
2021,still,104
2021,every,104
2021,everything,103
2021,really,102
2021,money,99
2021,ever,98
2021,friends,98
2021,two,97
2021,little,97
2021,even,95
2021,feels,94
2021,try,90
2021,touch,88
2021,eyes,88
2021,find,87
2021,huh,87
2021,tryna,87
2021,bad,87
2021,woman,87
2021,woo,86
2021,god,85
2021,hands,83
2021,talk,82
2021,stay,81
2021,alone,81
2021,world,80
2021,well,76
2021,fall,76
2021,would,75
2021,head,75
2021,man,74
2021,nah,74
2021,remember,73
2021,done,73
2021,bout,73
2021,stop,73
2021,dark,72
2021,sexy,72
2021,going,71
2021,okay,71
2021,hold,70
2021,name,69
2021,gone,69
2021,til,68
2021,thought,67
2021,always,67
2021,play,67
2021,wit,67
2021,told,66
2021,gon,66
2021,red,65
2021,new,64
2021,turn,64
2021,tonight,64
2021,big,64
2021,wish,63
2021,wait,63
2021,girls,63
2021,long,62
2021,wanted,60
2021,around,60
2021,lie,60
2021,work,60
2021,move,59
2021,hard,59
2021,real,59
2021,end,59
2021,side,59
2021,maybe,58
2021,might,57
2021,party,57
2022,bitch,187
2022,back,179
2022,woah,174
2022,mine,164
2022,fuck,160
2022,night,155
2022,shit,144
