Artist and Title,Artist,Title,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Bruno Mars - Just the Way You Are,Bruno Mars,Just the Way You Are,2190999113,1264628,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,b184f2a6-786e-4f4f-a38a-ead4c6eacfa3,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,USAT21001269,0.0134,0.635,0.841,0,5,0.0622,-5.379,1,0.0422,109.021,0.424
Don Omar - Danza Kuduro,Don Omar,Danza Kuduro,1751392253,1426032,2010,Hip-Hop/Rap,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",latin hip hop,puerto rican pop,reggaeton,1045711e-1ef7-4c09-979e-38b69d8af3b2,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,USUM71020778,0.083,0.4,0.915,0,0,0.0503,-4.89,1,0.279,89.006,0.871
Eminem - Love The Way You Lie,Eminem,Love The Way You Lie,1590400443,814597,2010,Hip-Hop/Rap,"['detroit hip hop', 'hip hop', 'rap']",detroit hip hop,hip hop,rap,cd9fa892-9d52-4062-970b-46540c9fe933,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,USUM71015397,0.241,0.749,0.925,0,10,0.52,-5.034,1,0.227,86.989,0.641
"Train - Hey, Soul Sister",Train,"Hey, Soul Sister",1584979624,930290,2010,Pop,"['hip pop', 'pop']",hip pop,pop,Unknown,c03a0e2d-f951-485c-83d5-08e79f96bdd7,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv,USSM10904113,0.185,0.673,0.886,0,1,0.0826,-4.44,0,0.0431,97.012,0.795
Maroon 5 - Moves Like Jagger,Maroon 5,Moves Like Jagger,1522800858,929759,2010,Pop,['pop'],pop,Unknown,Unknown,7bec6799-1a91-4940-a0b8-8528666b2402,https://open.spotify.com/track/3TahdwXB4gJRWVAI00Ejqa,USUM71109132,0.0117,0.722,0.761,0,11,0.315,-4.459,0,0.0475,128.044,0.624
Miguel - Sure Thing,Miguel,Sure Thing,1418205401,1364219,2010,R&B/Soul,"['r&b', 'urban contemporary']",r&b,urban contemporary,Unknown,4db3d8e0-c134-4232-9970-ffe677117df0,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,USJI10800160,0.0267,0.684,0.607,0.000307,11,0.191,-8.127,0,0.1,81.001,0.498
Bruno Mars - Talking to the Moon,Bruno Mars,Talking to the Moon,1410839937,796025,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,4b464950-6430-470e-a710-a8a27ed79095,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,USAT21001985,0.511,0.498,0.59,0,1,0.107,-4.721,0,0.032,145.867,0.0784
Bruno Mars - Grenade,Bruno Mars,Grenade,1354501521,653076,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,,,,,,,,,,,,,,
Katy Perry - Last Friday Night (T.G.I.F.),Katy Perry,Last Friday Night (T.G.I.F.),1199830145,820797,2010,Pop,['pop'],pop,Unknown,Unknown,ce75d789-51e1-4a90-aec0-5ea8093a1119,https://open.spotify.com/track/1htQDV8JxSuXG2QsNj5ttr,USCA21001264,0.00129,0.652,0.81,2.91e-05,3,0.667,-3.789,0,0.0406,126.022,0.732
Rihanna - Only Girl (In The World),Rihanna,Only Girl (In The World),1147118561,909814,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,c7923e75-a35f-463c-b77c-81332936df8d,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,USUM71023200,0.112,0.789,0.706,1.71e-05,11,0.0586,-4.233,0,0.0429,125.918,0.638
Katy Perry - Firework,Katy Perry,Firework,1107014841,602341,2010,Pop,['pop'],pop,Unknown,Unknown,031a4859-77d2-4bd5-851e-5fa14f811b44,https://open.spotify.com/track/3lXbHd0EoryoQh3vpevNEP,USCA21001262,0.142,0.638,0.831,0,8,0.113,-5.039,1,0.049,124.071,0.649
Taio Cruz - Dynamite,Taio Cruz,Dynamite,1102900089,472520,2010,Pop,"['dance pop', 'pop', 'pop rap']",dance pop,pop,pop rap,9ba9b924-ccc5-4023-a0f3-1c08e9384034,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,GBUM71003721,0.0039,0.751,0.781,0,4,0.036,-3.724,1,0.0862,119.977,0.814
Rihanna - S&M,Rihanna,S&M,1087079694,785208,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,3d4c8ee7-e569-41d1-857e-f831e3c03fdf,https://open.spotify.com/track/7ySUcLPVX7KudhnmNcgY2D,USUM71026591,0.0105,0.769,0.685,0.000124,1,0.0887,-5.019,1,0.041,127.977,0.836
Bruno Mars - Marry You,Bruno Mars,Marry You,1042067293,568598,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,,,,,,,,,,,,,,
Eminem - Not Afraid,Eminem,Not Afraid,1040176254,329544,2010,Hip-Hop/Rap,"['detroit hip hop', 'hip hop', 'rap']",detroit hip hop,hip hop,rap,296824b2-887c-45ff-9e29-85f7e2e17dad,https://open.spotify.com/track/7Ie9W94M7OjPoZVV216Xus,USUM71011769,0.529,0.855,0.954,0,0,0.205,-1.19,0,0.264,114.635,0.668
Plan B - Es un Secreto,Plan B,Es un Secreto,1014587631,1303795,2010,World/Traditional,"['reggaeton', 'trap latino', 'urbano latino']",reggaeton,trap latino,urbano latino,91b8b5e1-3fba-430f-a059-ce2aba90b4ed,https://open.spotify.com/track/3KZCP2StVGdWkOKyRZNWA4,USB271010155,0.117,0.841,0.774,2.66e-06,6,0.0674,-4.963,0,0.0421,95.006,0.494
Justin Bieber - Baby,Justin Bieber,Baby,993620982,654979,2010,Pop,"['canadian pop', 'pop']",canadian pop,pop,Unknown,16e530cc-0f1d-4910-a6a0-9db4040ff0ab,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,USUM70919263,0.0401,0.728,0.859,0,5,0.111,-5.237,0,0.137,65.043,0.535
Bruno Mars - The Lazy Song,Bruno Mars,The Lazy Song,992155997,552904,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,,,,,,,,,,,,,,
Katy Perry - The One That Got Away,Katy Perry,The One That Got Away,955525627,499934,2010,Pop,['pop'],pop,Unknown,Unknown,b54a1d55-6d3d-4df1-b703-4a22ed324cb5,https://open.spotify.com/track/2009X8GyWTqyxIdzAEYW6N,USCA21001266,0.000812,0.689,0.795,1.07e-06,1,0.156,-4.021,0,0.0356,133.968,0.876
Kanye West - POWER,Kanye West,POWER,952016426,239214,2010,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap,15e7af61-b6b6-43e4-83a5-f58f94c73308,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc,USUM71018220,0.0161,0.542,0.914,0,0,0.744,-4.747,0,0.113,153.993,0.576
USHER - DJ Got Us Fallin' In Love,USHER,DJ Got Us Fallin' In Love,887120958,669840,2010,Hip-Hop/Rap,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",atl hip hop,contemporary r&b,dance pop,b3fcd792-219a-426a-8278-bf1d964b29bd,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn,USLF21000041,0.0338,0.663,0.861,0,7,0.082,-3.398,0,0.109,119.963,0.654
Nicki Minaj - Super Bass,Nicki Minaj,Super Bass,885199989,455538,2010,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop,d63b9b71-2334-424c-ae70-983f27ca303d,https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel,USCM51000734,0.271,0.723,0.86,4.56e-06,11,0.598,-4.357,1,0.203,126.979,0.667
One Direction - Perfect,One Direction,Perfect,881832891,468966,2010,Pop,"['boy band', 'pop', 'post-teen pop', 'talent show']",boy band,pop,post-teen pop,1cae1f68-9621-4fe3-b998-252fc7a3c4a2,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk,GBHMU1500104,0.0598,0.648,0.822,0,11,0.119,-5.231,0,0.0749,99.933,0.397
Katy Perry - California Gurls,Katy Perry,California Gurls,865675116,617782,2010,Pop,['pop'],pop,Unknown,Unknown,17778e61-39dd-42a6-9c09-65beed4a278d,https://open.spotify.com/track/1GhbQDYGEOjyFwfT8lojcx,USCA21001135,0.0038,0.789,0.753,0,0,0.18,-3.71,1,0.0537,125.007,0.403
Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],854572461,355037,2010,Pop,"['colombian pop', 'dance pop', 'latin pop', 'pop']",colombian pop,dance pop,latin pop,c832a877-cd8b-4acd-b8c0-02da85943c9a,https://open.spotify.com/track/6bNB5gxFX6Q87DbQWb8OWZ,USSM11001353,0.0062,0.758,0.871,0,2,0.0663,-6.408,1,0.147,126.994,0.753
Two Door Cinema Club - What You Know,Two Door Cinema Club,What You Know,853812248,464438,2010,Rock,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",indie rock,indietronica,irish rock,9d22ceb4-166d-4d14-8a3e-b83e9c201fb9,https://open.spotify.com/track/4JHg4nNYUJQ5HULcCmI18R,FRU700900116,0.000673,0.549,0.758,6.79e-06,6,0.0926,-3.991,0,0.0406,139.052,0.822
Taylor Swift - Enchanted,Taylor Swift,Enchanted,830633767,339130,2010,Pop,['pop'],pop,Unknown,Unknown,ab18d7bd-2e43-4a30-9cd9-7a465ae282fc,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h,USUG12302081,0.016,0.52,0.553,0,8,0.165,-3.546,1,0.0269,81.949,0.227
Patrick Watson - Je te laisserai des mots,Patrick Watson,Je te laisserai des mots,817747793,954129,2010,Indie/Alternative,"['indie folk', 'indie quebecois']",indie folk,indie quebecois,Unknown,a8a96b23-383f-4bcd-b939-bb415d888337,https://open.spotify.com/track/44A0o4jA8F2ZF03Zacwlwx,CA0RZ1000020,0.989,0.303,0.187,0.499,2,0.102,-16.757,1,0.0356,132.679,0.212
B.o.B - Airplanes,B.o.B,Airplanes,808818202,236462,2010,Rock,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",emo,modern rock,pop,8b728518-1b22-4b0a-ab40-618f6291b32d,https://open.spotify.com/track/6lV2MSQmRIkycDScNtrBXO,USAT21000477,0.11,0.66,0.867,0,6,0.0368,-4.285,0,0.116,93.033,0.377
Katy Perry - Teenage Dream,Katy Perry,Teenage Dream,801202129,639129,2010,Pop,['pop'],pop,Unknown,Unknown,f635606f-c755-426b-9b6f-7b7b0a44d229,https://open.spotify.com/track/6r1ygpKNXg7deq18rzyM7F,USCA21001255,0.0162,0.719,0.798,2.34e-06,10,0.134,-4.582,1,0.0361,120.012,0.591
Mac Miller - The Spins,Mac Miller,The Spins,750937404,676268,2010,Hip-Hop/Rap,"['hip hop', 'pittsburgh rap', 'rap']",hip hop,pittsburgh rap,rap,,,,,,,,,,,,,,
Kanye West - Runaway,Kanye West,Runaway,749261648,526562,2010,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap,8bff9ab1-2495-45e7-b287-bf261b534ece,https://open.spotify.com/track/3DK6m7It6Pw857FcQftMds,USUM71027402,0.219,0.374,0.568,0.00219,1,0.513,-3.825,0,0.109,84.733,0.111
Far East Movement - Like A G6,Far East Movement,Like A G6,712365909,328660,2010,Hip-Hop/Rap,"['asian american hip hop', 'dance pop', 'pop rap']",asian american hip hop,dance pop,pop rap,58374c8f-bcc5-4edb-bdfa-97fa71c94594,https://open.spotify.com/track/5AyL2kgLtTWEu3qO3B9SqK,USUM71008138,0.00682,0.355,0.838,0,7,0.117,-8.126,0,0.471,165.457,0.783
P!nk - Raise Your Glass,P!nk,Raise Your Glass,708647052,411601,2010,Pop,[],Unknown,Unknown,Unknown,22d8eaff-94dd-47a4-8d7f-b9616cef518b,https://open.spotify.com/track/1gv4xPanImH17bKZ9rOveR,USLF21000090,0.0048,0.7,0.709,0,7,0.029,-5.006,1,0.0838,122.019,0.624
Kanye West - All Of The Lights,Kanye West,All Of The Lights,698730369,300898,2010,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap,acd0d1e6-9408-403c-ba3b-a832f91399e4,https://open.spotify.com/track/22L7bfCiAkJo5xGSQgmiIO,USUM71027273,0.0796,0.531,0.803,1.71e-05,1,0.176,-3.284,1,0.0717,142.113,0.221
Stromae - Alors on danse,Stromae,Alors on danse,697661830,330751,2010,Pop,"['belgian pop', 'g-house']",belgian pop,g-house,Unknown,00b9d79a-6e9f-4520-b133-9a8dac1b248f,https://open.spotify.com/track/2GYHyAoLWpkxLVa4oYTVko,FRUM70902424,0.0983,0.79,0.593,0.00202,1,0.065,-9.204,0,0.0776,119.958,0.72
Travie McCoy - Billionaire,Travie McCoy,Billionaire,685342804,342523,2010,Pop,['pop rap'],pop rap,Unknown,Unknown,ffe119ef-ccb2-471c-ae91-62c43ef327ae,https://open.spotify.com/track/2qPUnoasNe4Ep43emVXEig,USAT21000257,0.297,0.633,0.673,0,6,0.206,-6.403,0,0.258,86.776,0.659
Waka Flocka Flame - No Hands,Waka Flocka Flame,No Hands,679609070,334876,2010,Hip-Hop/Rap,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",atl hip hop,dirty south rap,pop rap,300856e5-da0d-464c-9611-f00d6ba21e98,https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H,USWB11002103,0.00544,0.76,0.595,0,1,0.241,-6.366,1,0.0391,131.497,0.361
Cascada - Everytime We Touch,Cascada,Everytime We Touch,677951569,357477,2010,Electronic/Dance,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",eurodance,europop,german techno,410adde6-76ee-4ac4-b1b9-5113f1226946,https://open.spotify.com/track/5YJtMNWKe55yr49cyJgxva,DEZ620500053,0.00281,0.633,0.976,1.29e-05,8,0.382,-5.362,1,0.0519,142.027,0.493
Bruno Mars - Count on Me,Bruno Mars,Count on Me,672059604,300300,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,5d00fbc0-971c-46d0-8ae0-bea5db5306d3,https://open.spotify.com/track/7l1qvxWjxcKpB9PCtBuTbU,USEE11000168,0.851,0.589,0.389,0,0,0.0772,-5.972,1,0.028,89.1,0.501
Sean Kingston - Eenie Meenie,Sean Kingston,Eenie Meenie,653947281,415678,2010,Pop,"['dance pop', 'miami hip hop', 'pop']",dance pop,miami hip hop,pop,92250aab-b43f-4650-b469-90ba23f7b5e8,https://open.spotify.com/track/4vVTI94F9uJ8lHNDWKv0i2,USSM11000625,0.0543,0.72,0.607,0,1,0.113,-4.168,1,0.0322,121.223,0.828
Wiz Khalifa - Black and Yellow,Wiz Khalifa,Black and Yellow,651642113,213140,2010,Hip-Hop/Rap,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",hip hop,pittsburgh rap,pop rap,,,,,,,,,,,,,,
B.o.B - Nothin' on You,B.o.B,Nothin' on You,629680817,422149,2010,Rock,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",emo,modern rock,pop,975004de-bddf-4b8b-af45-e42f24e96af7,https://open.spotify.com/track/59dLtGBS26x7kc0rHbaPrq,USAT20904033,0.386,0.688,0.853,0,10,0.0862,-5.814,1,0.0493,103.993,0.743
Gorillaz - On Melancholy Hill,Gorillaz,On Melancholy Hill,612539067,459822,2010,Hip-Hop/Rap,"['alternative hip hop', 'modern rock', 'rock']",alternative hip hop,modern rock,rock,9d3fb728-fcec-4767-b4d5-687d6588ac5e,https://open.spotify.com/track/0q6LuUqGLUiCPP1cbdwFs3,GBAYE1000010,1.51e-05,0.689,0.739,0.509,2,0.064,-5.81,1,0.026,120.423,0.578
Alexandra Stan - Mr. Saxobeat,Alexandra Stan,Mr. Saxobeat,595737303,380787,2010,Pop,['romanian pop'],romanian pop,Unknown,Unknown,a720bef1-79da-4815-9907-8df7dc75896f,https://open.spotify.com/track/3LWDPEXEaLBRGNLbdcbwBR,ROCRP1002864,0.0218,0.726,0.931,0.000283,11,0.143,-4.152,0,0.0468,126.976,0.797
Roar - I Can't Handle Change,Roar,I Can't Handle Change,592752868,441931,2010,,,,,,ee84afc7-5c90-4e13-b399-d1856a0c7d5c,https://open.spotify.com/track/37l31PrCNsg8baUjarNAi9,USHM81020595,0.0449,0.247,0.438,0.000942,5,0.111,-8.478,1,0.0358,185.703,0.391
Flo Rida - Club Can't Handle Me,Flo Rida,Club Can't Handle Me,587881459,361468,2010,Pop,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",dance pop,miami hip hop,pop,bd3f6993-7daf-457c-805f-21d266af5edd,https://open.spotify.com/track/6ebkx7Q5tTxrCxKq4GYj0Y,USAT21001281,0.0283,0.616,0.869,0,0,0.064,-3.911,1,0.0327,127.966,0.473
Taio Cruz - Break Your Heart,Taio Cruz,Break Your Heart,578143710,288994,2010,Pop,"['dance pop', 'pop', 'pop rap']",dance pop,pop,pop rap,a2ef2ea7-4aea-4fe3-8f3f-19ca9f9c5ff7,https://open.spotify.com/track/7mDCg8XTEyDNPzC5Jdt7mu,GBUM71003723,0.00157,0.67,0.896,0,8,0.188,-4.673,1,0.0283,122.044,0.651
John Lennon - Happy Xmas (War Is Over),John Lennon,Happy Xmas (War Is Over),570828609,25267,2010,Rock,"['classic rock', 'rock']",classic rock,rock,Unknown,9256f78b-9e20-43af-9de5-6b1ac4260d8e,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b,GBAYE1000862,0.28,0.321,0.64,0,2,0.718,-10.023,1,0.0324,146.172,0.414
Black Eyed Peas - Just Can’t Get Enough,Black Eyed Peas,Just Can’t Get Enough,558180320,452384,2010,Pop,"['dance pop', 'pop', 'pop rap']",dance pop,pop,pop rap,d4dadecd-bb2d-44aa-91a1-555ba378ae93,https://open.spotify.com/track/3JA9Jsuxr4xgHXEawAdCp4,USUM71026671,0.19,0.659,0.629,0,0,0.105,-8.685,0,0.18,94.049,0.262
Miguel - Girl With The Tattoo Enter.lewd,Miguel,Girl With The Tattoo Enter.lewd,544700773,539926,2010,R&B/Soul,"['r&b', 'urban contemporary']",r&b,urban contemporary,Unknown,70048a8a-c2cc-4d93-9937-035f6a849128,https://open.spotify.com/track/1eUGmzzvahJjOSWgDHuRlv,USJI11000245,0.856,0.372,0.239,0.000175,6,0.168,-11.314,0,0.0296,113.451,0.127
Rihanna - What's My Name?,Rihanna,What's My Name?,539124320,301357,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,6b65b9b9-c70a-4152-9a6a-f5a13cd1061b,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ,USUM71025031,0.182,0.688,0.784,0,2,0.0843,-2.972,1,0.0747,100.003,0.563
Kid Cudi - Mr. Rager,Kid Cudi,Mr. Rager,519946149,318782,2010,Hip-Hop/Rap,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",hip hop,ohio hip hop,pop rap,e8d5e169-5496-469f-b103-ddbe8463aaf0,https://open.spotify.com/track/393MDhe62s8hbH8ETrlxe5,USUM71025042,0.389,0.671,0.726,0.882,7,0.14,-8.689,1,0.0272,102.002,0.581
Nelly - Just A Dream,Nelly,Just A Dream,510968767,221115,2010,Pop,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",dance pop,gangster rap,hip hop,dc5d12ee-0dd8-4bf2-94ac-f3e3d310b7af,https://open.spotify.com/track/3ZdJffjzJWFimSQyxgGIxN,USUM71020948,0.0424,0.528,0.753,0,1,0.12,-6.162,1,0.0307,89.954,0.103
Enrique Iglesias - Cuando Me Enamoro,Enrique Iglesias,Cuando Me Enamoro,499269504,279240,2010,Pop,"['dance pop', 'latin pop', 'mexican pop']",dance pop,latin pop,mexican pop,eae142e2-493b-4f46-b592-385a7a3193b1,https://open.spotify.com/track/4PHX6bpHDxiR9RGzAKWcyk,GBUM71003036,0.0106,0.82,0.813,4.84e-05,1,0.0893,-3.646,1,0.0268,126.026,0.893
Kanye West - Devil In A New Dress,Kanye West,Devil In A New Dress,475434765,270573,2010,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap,db23cd90-91e8-4d2c-ad6e-4eb59cef46d1,https://open.spotify.com/track/1UGD3lW3tDmgZfAVDh6w7r,USUM71027277,0.0175,0.435,0.76,0,8,0.158,-4.935,0,0.0721,80.082,0.206
Lady A - Need You Now,Lady A,Need You Now,473992537,209860,2010,Pop,"['art pop', 'dance pop', 'pop']",art pop,dance pop,pop,efa17388-9d97-48ff-8cec-6b41af7d1d24,https://open.spotify.com/track/7GAaTpSoTWUTbP2Yxlt4Hd,USCN10900695,0.0298,0.581,0.717,0.000185,4,0.243,-4.433,1,0.0318,107.884,0.316
Bruno Mars - Runaway Baby,Bruno Mars,Runaway Baby,471140199,298646,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,,,,,,,,,,,,,,
bôa - Duvet,bôa,Duvet,466518644,776340,2010,,,,,,18fd2556-b7d5-48aa-919f-82ff183a4d86,https://open.spotify.com/track/42qNWdLKCI41S4uzfamhFM,USCGJ0659337,0.191,0.583,0.888,4.58e-05,11,0.0936,-9.414,0,0.0349,93.206,0.706
Gorillaz - Rhinestone Eyes,Gorillaz,Rhinestone Eyes,465838220,235285,2010,Hip-Hop/Rap,"['alternative hip hop', 'modern rock', 'rock']",alternative hip hop,modern rock,rock,4ac19d62-f358-493c-9681-17f8e124345a,https://open.spotify.com/track/1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017,0.0869,0.676,0.703,0.000687,8,0.0463,-5.815,0,0.0302,92.761,0.852
Dread Mar I - Tu Sin Mi,Dread Mar I,Tu Sin Mi,440470496,356527,2010,World/Traditional,"['argentine reggae', 'rock en espanol']",argentine reggae,rock en espanol,Unknown,3109191b-07be-4fab-a1b4-7c2305a09fdc,https://open.spotify.com/track/1M790SJApJ97Fewi2lbeUg,ART0G1200237,0.156,0.798,0.41,0,9,0.0555,-5.777,0,0.0322,83.974,0.792
The Black Keys - Howlin' for You,The Black Keys,Howlin' for You,436474733,180355,2010,Rock,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",alternative rock,blues rock,garage rock,6701666a-05c1-4f83-a458-9783a0f1a15c,https://open.spotify.com/track/4yffABDkB5A9flvr9vQFck,USNO12000174,0.0272,0.725,0.747,0.0468,11,0.104,-5.545,1,0.0876,132.921,0.38
Plan B - Si No Le Contesto,Plan B,Si No Le Contesto,419908669,354703,2010,World/Traditional,"['reggaeton', 'trap latino', 'urbano latino']",reggaeton,trap latino,urbano latino,9dcf2490-c274-43a2-b991-818a4246fde6,https://open.spotify.com/track/6NdKkfo7o6IH1Op0jsBDjN,USB271010154,0.101,0.847,0.755,0,1,0.184,-4.569,0,0.0498,94.994,0.531
Angus & Julia Stone - Big Jet Plane,Angus & Julia Stone,Big Jet Plane,410747032,198188,2010,Indie/Alternative,"['australian indie folk', 'indie folk']",australian indie folk,indie folk,Unknown,dd1c03a7-2a31-4159-b578-bc36c5a5b6e2,https://open.spotify.com/track/7znAjItIP7xKKhyFzF5W1B,AUAP10900011,0.239,0.762,0.387,0.00756,10,0.13,-8.643,0,0.0277,109.959,0.274
Zac Brown Band - Knee Deep,Zac Brown Band,Knee Deep,408925334,243038,2010,World/Traditional,"['contemporary country', 'country', 'country road', 'modern country rock']",contemporary country,country,country road,482289b8-4be4-4a87-b509-e986a447710e,https://open.spotify.com/track/60IGhnH20N82dNxKnc8jDd,USAT21001570,0.432,0.715,0.584,1.41e-06,8,0.095,-8.231,1,0.0296,90.99,0.609
Jeremih - Down On Me,Jeremih,Down On Me,406563684,199983,2010,Hip-Hop/Rap,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",chicago rap,pop rap,r&b,be626291-3526-4c86-8e3a-ee02667e9014,https://open.spotify.com/track/7seWbBQAm6wAxZTWXKeEED,USUM71023043,0.0369,0.7,0.598,0,2,0.111,-7.783,1,0.114,160.041,0.594
Kavinsky - Nightcall,Kavinsky,Nightcall,402286459,195689,2010,Electronic/Dance,['filter house'],filter house,Unknown,Unknown,21f8acc7-2ead-4617-ba25-7b20834f2a17,https://open.spotify.com/track/0U0ldCRmgCqhVvD6ksG63j,FRS710900410,0.00842,0.532,0.874,0.012,9,0.452,-5.183,0,0.0482,91.038,0.361
Taylor Swift - Back To December,Taylor Swift,Back To December,401517170,124970,2010,Pop,['pop'],pop,Unknown,Unknown,9e448721-d750-4145-9894-2709981275d1,https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2,USUG12302075,0.00705,0.486,0.635,0,2,0.119,-3.994,1,0.0278,141.868,0.235
CeeLo Green - Fuck You,CeeLo Green,Fuck You,393702858,129586,2010,Hip-Hop/Rap,"['atl hip hop', 'pop rap']",atl hip hop,pop rap,Unknown,12f3ebb5-2354-48ae-8be1-742042dc2123,https://open.spotify.com/track/3ydfhgIZIc2j39NLIhpJpq,USAT21001785,0.193,0.693,0.879,0,0,0.124,-3.988,1,0.0578,127.457,0.753
Camila - Mientes,Camila,Mientes,393035809,491821,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,77e63c3c-6df2-49d8-8d3f-e95a5fc80031,https://open.spotify.com/track/5EhzE6HJaCcLFrf5rPqvpk,MXF010900828,0.0824,0.332,0.592,0,1,0.109,-6.127,1,0.0371,170.391,0.31
Dr. Dog - Where'd All the Time Go?,Dr. Dog,Where'd All the Time Go?,390951305,358911,2010,Pop,"['chamber pop', 'indie rock', 'modern folk rock', 'philly indie', 'pov: indie', 'seattle indie', 'stomp and holler']",chamber pop,indie rock,modern folk rock,f19059af-5569-4453-b455-f17db97d1d87,https://open.spotify.com/track/0UV5zxRMz6AO4ZwUOZNIKI,USEP40937005,0.132,0.454,0.82,0.000969,2,0.115,-4.193,1,0.0567,166.303,0.575
Jason Derulo - In My Head,Jason Derulo,In My Head,383543528,142169,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,6e4fa0f3-6d29-4a68-8ff2-bffdcb5d2635,https://open.spotify.com/track/6St9lR6dhV2tpCNVz7qfrS,USWB10904633,0.0266,0.762,0.748,0,0,0.348,-4.15,0,0.033,110.009,0.851
Neon Trees - Animal,Neon Trees,Animal,383433823,175997,2010,Rock,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",modern rock,neo mellow,pop rock,d2ae4711-4808-435c-825c-cb071ec46e62,https://open.spotify.com/track/0l4DTppOxy7NUaEcwXuOb6,USUM71001801,0.00034,0.482,0.829,0,5,0.378,-5.576,1,0.0437,147.99,0.739
Jason Aldean - Dirt Road Anthem,Jason Aldean,Dirt Road Anthem,377645118,169052,2010,World/Traditional,"['contemporary country', 'country', 'country road', 'modern country rock']",contemporary country,country,country road,8e583f81-e0f5-41f4-8cd0-fb51591743a2,https://open.spotify.com/track/5ZVGvay4xwgXMnQWffNYeU,US58E1000234,0.342,0.68,0.74,1.81e-06,2,0.117,-5.064,1,0.0355,127.024,0.644
