Artist and Title,Artist,Title,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Clairo - Bubble Gum,Clairo,Bubble Gum,508976550,311233,2019,Pop,"['bedroom pop', 'indie pop', 'pov: indie']",bedroom pop,indie pop,pov: indie,c485d88c-1693-4a78-a8de-c8863f1e693d,https://open.spotify.com/track/3zksbXteOCeSusJ5Xltr3t,QMEZE1907824,0.979,0.509,0.0167,2.72e-05,9,0.387,-24.639,1,0.115,207.97,0.229
NLE Choppa - Shotta Flow,NLE Choppa,Shotta Flow,507808355,159339,2019,Hip-Hop/Rap,"['memphis hip hop', 'rap']",memphis hip hop,rap,Unknown,6ed4c732-6c19-448c-b48f-e35a6fc97c5b,https://open.spotify.com/track/5OFlp1fOrfiSXOjw4wuSgy,QZ85M1951467,0.0245,0.893,0.514,0,2,0.142,-4.776,1,0.424,120.077,0.555
SLANDER - Love Is Gone,SLANDER,Love Is Gone,504347012,274480,2019,Electronic/Dance,['dubstep'],dubstep,Unknown,Unknown,7adae9f3-910a-4fdf-ad68-8b3dc27821c2,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx,CA5KR1969481,0.882,0.541,0.153,1.66e-06,6,0.16,-10.654,1,0.0303,139.644,0.359
mgk - I Think I'm OKAY,mgk,I Think I'm OKAY,503999502,123016,2019,,,,,,f92dbc50-8ba0-4cf6-9941-f598fd05e76e,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg,USUM71909845,0.0257,0.628,0.744,0,7,0.313,-4.718,1,0.0379,119.921,0.277
Camila Cabello - Liar,Camila Cabello,Liar,493169221,54533,2019,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,21c79170-7a98-4de0-b9c8-fc236f51fcbf,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,USSM11905818,0.0169,0.74,0.498,0.00282,11,0.319,-6.684,0,0.0456,98.016,0.652
YNW Melly - 223's,YNW Melly,223's,492124617,121564,2019,Hip-Hop/Rap,"['melodic rap', 'rap']",melodic rap,rap,Unknown,1aaa5f50-b4fe-4d35-9aab-db880d4d6302,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,QMCE31902418,0.0388,0.932,0.547,0,0,0.0924,-7.787,0,0.333,94.998,0.695
Lauv - lonely,Lauv,lonely,490995068,50570,2019,Pop,['pop'],pop,Unknown,Unknown,f705d2d1-ab0e-4e3f-9ac4-22d5ddd46b75,https://open.spotify.com/track/0r4l1Eco6JEbeexC8dEawI,GBKPL1969283,0.0403,0.586,0.503,0,2,0.0994,-7.002,1,0.0268,95.013,0.385
TWICE - FANCY,TWICE,FANCY,487425051,171245,2019,Pop,"['k-pop', 'k-pop girl group', 'pop']",k-pop,k-pop girl group,pop,23efe1ef-b76f-4e67-915a-028fa87766c5,https://open.spotify.com/track/2qQpFbqqkLOGySgNK8wBXt,US5TA1900042,0.0122,0.697,0.874,0,5,0.627,-2.15,0,0.0449,132.018,0.775
Lil Uzi Vert - Sanguine Paradise,Lil Uzi Vert,Sanguine Paradise,484170791,74736,2019,Hip-Hop/Rap,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",hip hop,melodic rap,philly rap,bd7e1008-72dc-4136-a263-3e707dcdbc21,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,USAT21902376,0.0948,0.729,0.603,0,6,0.113,-6.736,0,0.0666,134.972,0.207
"Tyler, The Creator - ARE WE STILL FRIENDS?","Tyler, The Creator",ARE WE STILL FRIENDS?,484007392,416531,2019,Hip-Hop/Rap,"['hip hop', 'rap']",hip hop,rap,Unknown,203899dd-2054-42be-82bb-7d01bf30b1dd,https://open.spotify.com/track/5TxRUOsGeWeRl3xOML59Ai,USQX91901168,0.128,0.216,0.497,2.39e-06,10,0.111,-8.025,1,0.0371,187.308,0.313
