Unnamed: 0,Artist and Title,Artist,Year,main_genre,genres,first_genre,second_genre,third_genre,Streams,Daily,Title,lyrics
,Billie Eilish - BIRDS OF A FEATHER,Billie Eilish,2024,,,,,,3542428988,2698054,BIRDS OF A FEATHER,"That ending where I'm like, ""'Til the day that I die"" (Yeah, yup, I said-) and I just kept go- That, that's like the highest I've ever belted in my life And I remember being in here and being (alone) I was in here alone in the dark, dark period of time And I was just like, ""I am gonna get this right"" And I was recording that like ""'Til the day that I die, 'til the light leaves my eyes"" And then I was like, ""You know what? I'm gonna-, I'm gonna try something"" I can just hold it, or I could go, ""'Til the day that I die"" And then I was like, ""Die,"" and I just was like- kept going And then I was like, ""I got this one, I'm gonna just hit the higher one"" And this is a girl that like I could not belt until I was literally 18 (yeah) Like I couldn't physically do it I'm like so proud of that (yeah) I remember coming home and being like, ""Mom!"" She got better and better at knowing like I liked this take, and I like this word from this take And like this word (mhm) And so I just like, ""Well, let me teach you how to do this, not that hard"" And so I taught her how to record herself and how to compose herself One of the reasons I did it is because I've always recorded alone And there's stuff that I am just not brave enough to do In front of somebody else And it's like, I know I'm a brother, but it's like (Oh, I could never have done that without Finneas in the room) Yeah, and also probably, probably some other take in there Wh-, you were like, ""I hate this"" Even though you got the one take that you, you killed I think that really shines on this album as like a person Even without their collaborator in the room doing the bravest thing or"
,Lady Gaga - Die With A Smile,Lady Gaga,2024,,,,,,3494303184,2947225,Die With A Smile,"[Intro: Bruno Mars] (Ooh, ooh) [Verse 1: Bruno Mars] I, I just woke up from a dream Where you and I had to say goodbye And I don't know what it all means But since I survived, I realized [Pre-Chorus: Bruno Mars] Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night [Chorus: Bruno Mars] If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you [Post-Chorus: Bruno Mars] (Ooh, ooh) [Verse 2: Lady Gaga, Lady Gaga & Bruno Mars] Ooh, lost, lost in the words that we scream I don't even wanna do this anymore 'Cause you already know what you mean to me And our love's the only war worth fighting for [Pre-Chorus: Lady Gaga & Bruno Mars] Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night [Chorus: Lady Gaga & Bruno Mars, Lady Gaga] If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you [Bridge: Bruno Mars, Lady Gaga, Both] Right next to you Next to you Right next to you Oh-oh [Chorus: Lady Gaga, Lady Gaga & Bruno Mars, Bruno Mars] If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to youIf the world was ending I'd wanna be next to you [Outro: Bruno Mars, Lady Gaga & Bruno Mars] (Ooh, ooh) I'd wanna be next to you"
,Sabrina Carpenter - Espresso,Sabrina Carpenter,2024,,,,,,2852083910,1903282,Espresso,"[Chorus] Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso [Verse 1] I can't relate to desperation My give-a-fucks are on vacation And I got this one boy and he won't stop calling When they act this way, I know I got 'em [Pre-Chorus] (Mm) Too bad your ex don't do it for ya (Mm) Walked in and dream-came-trued it for ya (Mm) Soft skin and I perfumed it for ya (Yes) I know I Mountain Dew it for ya (Yes) That morning coffee, brewed it for ya (Yes) One touch and I brand-newed it for ya (Ooh) [Chorus] And now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso [Post-Chorus] Holy shit Is it that sweet? I guess so (Mm) [Verse 2] I'm working late 'cause I'm a singer Oh, he looks so cute wrapped 'round my finger My twisted humor make him laugh so often My honeybee, come and get this pollen [Pre-Chorus] (Mm) Too bad your ex don't do it for ya (Mm) Walked in and dream-came-trued it for ya (Mm) Soft skin and I perfumed it for ya (Ayy, ayy, oh) (Yes) I know I Mountain Dew it for ya (Yes) That morning coffee, brewed it for ya (Yes) One touch and I brand-newed it for ya (Stupid) [Chorus] Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso (Yes) Thinkin' 'bout me every night, oh Is it that sweet? I guess so (Yes) Say you can't sleep, baby, I know That's that me espresso (Yes) Move it up, down, left, right, oh (Move it up, down, left, right, oh) Switch it up like Nintendo (Yes) Say you can't sleep, baby, I know That's that me espresso [Outro] Is it that sweet? I guess so Mm, that's that me espresso"
,Benson Boone - Beautiful Things,Benson Boone,2024,,,,,,2817472191,2085918,Beautiful Things,"[Verse 1] For a while there, it was rough But lately, I've been doin' better Than the last four cold Decembers I recall And I see my family every month I found a girl my parents love She'll come and stay the night, and I think I might have it all And I thank God every day For the girl He sent my way But I know the things He gives me, He can take away And I hold you every night And that's a feeling I wanna get used to But there's no man as terrified as the man who stands to lose you [Pre-Chorus] Oh, I hope I don't losе you Mm, please stay I want you, I need you, oh God Don't take Thеse beautiful things that I've got [Chorus] Please stay I want you, I need you, oh God Don't take These beautiful things that I've got [Post-Chorus] Oh, ooh Please don't take [Verse 2] I found my mind, I'm feelin' sane It's been a while, but I'm finding my faith If everything's good and it's great, why do I sit and wait 'til it's gone? Oh, I'll tell ya, I know I've got enough I've got peace and I've got love But I'm up at night thinkin' I just might lose it all [Chorus] Please stay I want you, I need you, oh God Don't take These beautiful things that I've got [Post-Chorus] Oh, ooh [Outro] Please stay I want you, I need you, oh God I need These beautiful things that I've got"
,ROSÉ - APT.,ROSÉ,2024,,,,,,2339305241,1758216,APT.,"[Intro: ROSÉ] 채영이가 좋아하는 랜덤 게임 랜덤 게임 Game start [Chorus: ROSÉ] 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh [Verse 1: ROSÉ] Kissy face, kissy face Sent to your phone, but I'm tryna kiss your lips for real (Uh-huh, uh-huh) Red hearts, red hearts That's what I'm on, yeah Come give me somethin' I can feel, oh-oh, oh [Pre-Chorus: ROSÉ] Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the [Chorus: ROSÉ] 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh [Verse 2: Bruno Mars, Bruno Mars & ROSÉ] It's whatever (Whatever), it's whatever (Whatever) It's whatever (Whatever) you like (Woo) Turn this 아파트 into a club (Uh-huh, uh-huh) I'm talkin' drink, dance, smoke, freak, party all night (Come on) 건배, 건배, girl, what's up?  Oh-oh, oh [Pre-Chorus: Bruno Mars & ROSÉ] Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the [Chorus: ROSÉ & Bruno Mars] 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh [Bridge: ROSÉ, ROSÉ & Bruno Mars] Hey, so now you know the game Are you ready? 'Cause I'm comin' to get ya, get ya, get ya Hold on, hold on I'm on my way Yeah, yeah, yeah-yeah, yeah I'm on my way Hold on, hold on I'm on my way Yeah, yeah, yeah-yeah, yeah I'm on my way [Pre-Chorus: ROSÉ & Bruno Mars] Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the [Chorus: ROSÉ & Bruno Mars,  ROSÉ ,  Bruno Mars ] 아파트, 아파트 아파트, 아파트 아파트, 아파트 Just meet me at the  (Uh, uh-huh, uh-huh) 아파트, 아파트 아파트, 아파트 아파트, 아파트 Just meet me at the  (Uh, uh-huh, uh-huh) 아파트, 아파트 아파트, 아파트 아파트, 아파트 Just meet me at the (Uh, uh-huh, uh-huh) 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh"
,Jimin - Who,Jimin,2024,,,,,,2318757958,1986228,Who,"[Chorus] We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? [Verse 1] If every day I think about her Yeah, every day of my life Then tell me why I haven't found her (Why, why, why, why, why?) [Pre-Chorus] There's so many people to see (There's so many people to see) And places to go (There's so many places to go) I still haven't found your love [Chorus] We nevеr met, but she's all I see at night Nevеr met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? [Verse 2] I'll take her places they ain't found yet I'll put it all on the line I'll be that someone she can count on One, two, three, four, five [Pre-Chorus] There's so many people to see (There's so many people to see) And places to go (There's so many places to go) I still haven't found your love [Chorus] We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? Is she someone that I see every day? Is she somewhere a thousand miles away? Wanna give her the world and so much more Who is my heart waiting for? [Bridge] (Who is my heart) Heart waiting for? (Who is my heart) Heart waiting for? (Who is my heart) Heart waiting for? (Who is my—) Who is my heart waiting for? [Chorus] We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? Is she someone that I see every day? Is she somewhere a thousand miles away? Wanna give her the world and so much more Who is my heart waiting for?"
,"Chappell Roan - Good Luck, Babe!",Chappell Roan,2024,,,,,,2025633612,1554172,"Good Luck, Babe!","[Verse 1] It's fine, it's cool You can say that we are nothing, but you know the truth And guess I'm the fool With her arms out like an angel through the car sunroof [Pre-Chorus] I don't wanna call it off But you don't wanna call it love You only wanna be the one that I call ""baby"" [Chorus] You can kiss a hundred boys in bars Shoot another shot, try to stop the feeling You can say it's just the way you are Make a new excuse, 'nother stupid reason Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling [Verse 2] I'm cliché, who cares? It's a sexually explicit kind of love affair And I cry, it's not fair I just need a little lovin', I just need a little air [Pre-Chorus] Think I'm gonna call it off Even if you call it love I just wanna love someone who calls me ""baby"" [Chorus] You can kiss a hundred boys in bars Shoot another shot, try to stop the feeling You can say it's just the way you are Make a new excuse, 'nother stupid reason Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling [Bridge] Ah, ah-yeah, oh When you wake up next to him in the middle of the night With your head in your hands, you're nothing more than his wife And when you think about me all of those years ago You're standing face to face with ""I told you so"" You know I hate to say, I told you so You know I hate to say, but I told you so [Chorus] You can kiss a hundred boys in bars Shoot another shot, try to stop the feeling (Well, I told you so) You can say it's just the way you are Make a new excuse, 'nother stupid reason Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling Good luck, babe (Well, good luck) Well, good luck, babe (Well, good luck) You'd have to stop the world just to stop the feeling [Outro] You'd have to stop the world just to stop the feeling You'd have to stop the world just to stop the feeling You'd have to stop the world just to stop the feeling"
,FloyyMenor - Gata Only,FloyyMenor,2024,,,,,,1982574959,1169126,Gata Only,"[Letra de ""Gata Only""] [Intro: Cris Mj] Ey [Refrán: Cris Mj & FloyyMenor] Mami, te siento lejo', dime dónde está' Te quiero chingar, te voy a raptar Déjate llevar, apaga el celular Que si está' conmigo no te va a pasar na' Solo déjate llevar Nena, atenta a la jugá' Que yo quiero contigo y tú quiere' conmigo ( Brr ) Dime si se da [Coro: FloyyMenor] Ba-Ba-Baby, dale, ponte pa' mí, follow me Tú ere' like for me y yo 'toy pa' ti Gata, tú está' only, mándame tu ubi Mueve los cachete' al ritmo del TikTok Conmigo esa gata se еscapó y en su casa nadie lo notó E' que conmigo la baby еsta noche la pasó cabrón Gata, pon el celu en modo avión Tú mi loca y yo tu locotrón Tú te pone' pa' mí y yo por ti me tiro toa' las misione' [Refrán: FloyyMenor & Cris Mj] Mami, te siento lejo', dime dónde está' (Ah-ah) Te quiero chingar, te voy a raptar Déjate llevar y apaga el celular Que si está' conmigo no te va a pasar na' Solo déjate llevar 'Tate atenta a la jugá' Si yo quiero contigo y tú quiere' conmigo ( Mj ) (Dime si se da) [Coro: Cris Mj] Ba-Ba-Baby, dale, ponte pa' mí, follow me Tú ere' like for me, yo tu Brad Pitt Gata, tú está' only, mándame tu ubi Muévelo, cabecea al ritmo del TikTok Conmigo esa gata se escapó El que la rompe soy yo Me la robo de menor [Verso: Cris Mj & FloyyMenor] Otra noche dándote (Eh), dándote (Eh) Tocándote (Eh), calentándote Encima viniéndote (Okey) Al oído gimiéndome (Ja) Y yo la sigo enamorando, regalando, to' el día comprando Lo que uste', mamita, quiere Ahora nos 'tamo alejando, no te estoy viendo, los día' volando Estar sola tú prefiere' Ven y dame un chance pa' guayarte Allá abajo mojarte toa' las parte' Otra noche dándote, dándote Tocándote, calentándote [Coro: Cris Mj] Baby, dale, ponte pa' mí, follow me (Brr) Tú ere' like for me, yo tu Brad Pitt Gata, tú está' only, mándame tu ubi Muévelo, cabecea al ritmo del TikTok Conmigo esa gata se escapó El que la rompe soy yo Me la robo de menor [Outro: FloyyMenor & Cris Mj] Ey (Ah-ah-ah-ah-ah-ah-ah) Ya tú sabe' quiéne', ya tú sabe' quiénes somo' (Ey) (Ah-ah-ah-ah-ah-ah-ah-ah-ah) FloyyMenor Cris Mj ""El Más Que Suena"" (Ah-ah-ah, ah-ah-ah) FloyyMenor 'Tamo matando, brr, ja (Mami, te siento lejo', dime dónde estás) (Te quiero chingar, te voy a raptar) (Déjate llevar, apaga el celular) (Que si estás conmigo no te va a pasar na') Tú y yo en La Serena Por la Avenida del Mar ( Si yo quiero contigo y tú quiere' conmigo ) ( Dime si se da ) Tra, tra, tra, tra, tra, tra, tra, traJaja Muah Pa' que sepa'"
,Billie Eilish - WILDFLOWER,Billie Eilish,2024,,,,,,1929169630,2210244,WILDFLOWER,"[Verse 1] Things fall apart And time breaks your heart I wasn't there, but I know She was your girl You showed her the world But fell out of love and you both let go [Pre-Chorus] She was cryin’ on my shoulder All I could do was hold her Only made us closer until July Now, I know that you love me You don't need to remind me I should put it all behind me, shouldn't I? [Chorus] But I see her in the back of my mind all the time Like a fever, like I’m burning alive, like a sign Did I cross the line? [Post-Chorus] (Mm) Hmm [Verse 2] Well, good things don't last (Good things don't last) And life moves so fast (Life moves so fast) I'd never ask who was better (I'd never ask who was better) 'Cause she couldn't be (Couldn't) More different from me (Different) Happy and free in leather (Happy) [Pre-Chorus] And I know that you love me (You love me) You don’t need to remind me (Remind me) Wanna put it all behind me, but baby [Chorus] I see her in the back of my mind (Back of my mind) all the time (All the time) Feels like a fever (Like a fever), like I’m burning alive (Burning alive), like a sign Did I cross the line? [Bridge] You say no one knows you so well (Oh) But every time you touch me, I just wonder how she felt Valentine's Day, cryin’ in the hotel I know you didn't mean to hurt me, so I kept it to myself [Chorus] And I wonder Do you see her in the back of your mind in my eyes? [Outro] You say no one knows you so well But every time you touch me, I just wonder how she felt Valentine's Day, cryin' in the hotel I know you didn’t mean to hurt me, so I kept it to myself"
,Hozier - Too Sweet,Hozier,2024,,,,,,1890174971,1207776,Too Sweet,"[Verse 1] It can't be said I'm an early bird It's 10 o'clock before I say a word Baby, I can never tell How do you sleep so well? You keep tellin' me to live right To go to bed before the daylight But then you wake up for the sunrise You know you don't gotta pretend Baby, now and then [Pre-Chorus] Don't you just wanna wake up, dark as a lake Smellin' like a bonfire, lost in a haze? If you're drunk on life, babe, I think it's great But while in this world [Chorus] I think I'll take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me I take my whiskеy neat My coffee black and my bed at 3 You're too sweet for mе You're too sweet for me [Post-Chorus] Ooh, ooh Ooh, ooh [Verse 2] I aim low I aim true, and the ground's where I go I work late where I'm free from the phone And the job gets done But you worry some, I know But who wants to live forever, babe? You treat your mouth as if it's Heaven's gate The rest of you like you're the TSA I wish I could go along Babe, don't get me wrong [Pre-Chorus] You know you're bright as the morning, as soft as the rain Pretty as a vine, as sweet as a grape If you can sit in a barrel, maybe I'll wait Until that day [Chorus] I'd rather take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me I take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me [Post-Chorus] Woah, woah Woah, woah Woah, woah Woah, woah [Outro] I take my whiskey neat My coffee black and my bed at 3 You're too sweet for me You're too sweet for me"
,Kendrick Lamar - Not Like Us,Kendrick Lamar,2024,,,,,,1860672478,1159729,Not Like Us,"[Intro] Psst, I see dead people ( Mustard on the beat, ho ) [Verse 1] Ayy, Mustard on the beat, ho Deebo any rap nigga, he a free throw Man down, call an amberlamps, tell him, ""Breathe, bro"" Nail a nigga to the cross, he walk around like Teezo What's up with these jabroni-ass niggas tryna see Compton? The industry can hate me, fuck 'em all and they mama How many opps you really got? I mean, it's too many options I'm finna pass on this body, I'm John Stockton Beat your ass and hide the Bible if God watchin' Sometimes you gotta pop out and show niggas Certified boogeyman, I'm the one that up the score with 'em Walk him down, whole time, I know he got some ho in him Pole on him, extort shit, bully Death Row on him Say, Drake, I hear you like 'em young You better not ever go to cell block one To any bitch that talk to him and they in love Just make sure you hide your lil' sister from him They tell me Chubbs the only one that get your hand-me-downs And Party at the party playin' with his nose now And Baka got a weird case, why is he around? Certified Lover Boy? Certified pedophiles Wop, wop, wop, wop, wop, Dot, fuck 'em up Wop, wop, wop, wop, wop, I'ma do my stuff Why you trollin' like a bitch? Ain't you tired? Tryna strike a chord and it's probably A minor [Chorus] They not like us, they not like us, they not like us They not like us, they not like us, they not like us [Verse 2] You think the Bay gon' let you disrespect Pac, nigga? I think that Oakland show gon' be your last stop, nigga Did Cole foul, I don't know why you still pretendin' What is the owl? Bird niggas and burnt bitches, go The audience not dumb Shape the stories how you want, hey, Drake, they're not slow Rabbit hole is still deep, I can go further, I promise Ain't that somethin'? B-Rad stands for bitch and you Malibu most wanted Ain't no law, boy, you ball boy, fetch Gatorade or somethin' Since 2009, I had this bitch jumpin' You niggas'll get a wedgie, be flipped over your boxers What OVO for? The ""Other Vaginal Option""? Pussy Nigga better straighten they posture, got famous all up in Compton Might write this for the doctorate, tell the pop star quit hidin' Fuck a caption, want action, no accident And I'm hands-on, he fuck around, get polished Fucked on Wayne girl while he was in jail, that's connivin' Then get his face tatted like a bitch apologizin' I'm glad DeRoz' came home, y'all didn't deserve him neither From Alondra down to Central, nigga better not speak on Serena And your homeboy need subpoena, that predator move in flocks That name gotta be registered and placed on neighborhood watch I lean on you niggas like another line of Wock' Yeah, it's all eyes on me, and I'ma send it up to Pac, ayy Put the wrong label on me, I'ma get 'em dropped, ayy Sweet Chin Music and I won't pass the aux, ayy How many stocks do I really have in stock? Ayy One, two, three, four, five, plus five, ayy Devil is a lie, he a 69 God, ayy Freaky-ass niggas need to stay they ass inside, ayy Roll they ass up like a fresh pack of 'za, ayy City is back up, it's a must, we outside, ayy [Chorus] They not like us, they not like us, they not like us They not like us, they not like us, they not like us [Verse 3] Once upon a time, all of us was in chains Homie still doubled down callin' us some slaves Atlanta was the Mecca, buildin' railroads and trains Bear with me for a second, let me put y'all on game The settlers was usin' townfolk to make 'em richer Fast-forward, 2024, you got the same agenda You run to Atlanta when you need a check balance Let me break it down for you, this the real nigga challenge You called Future when you didn't see the club (Ayy, what?) Lil Baby helped you get your lingo up (What?) 21 gave you false street cred Thug made you feel like you a slime in your head (Ayy, what?) Quavo said you can be from Northside (What?) 2 Chainz say you good, but he lied You run to Atlanta when you need a few dollars No, you not a colleague, you a fuckin' colonizer The family matter and the truth of the matter It was God's plan to show y'all the liar [Bridge] Mm Mm-mm He a fan, he a fan, he a fan (Mm) He a fan, he a fan, he a Freaky-ass nigga, he a 69 God Freaky-ass nigga, he a 69 God Hey, hey, hey, hey, run for your life Hey, hey, hey, hey, run for your life Freaky-ass nigga, he a 69 God Freaky-ass nigga, he a 69 God Hey, hey, hey, hey, run for your life Hey, hey, hey, hey, run for your life Let me hear you say, ""OV-ho"" ( OV-ho ) Say, ""OV-ho"" ( OV-ho ) Then step this way, step that way Then step this way, step that way [Outro] Are you my friend? Are we locked in? Then step this way, step that way Then step this way, step that way"
,Ariana Grande - we can't be friends (wait for your love),Ariana Grande,2024,,,,,,1860324509,1319168,we can't be friends (wait for your love),"[Verse 1] I didn't think you'd understand me How could you ever even try? I don't wanna tiptoe, but I don't wanna hide But I don't wanna feed this monstrous fire Just wanna let this story die And I'll be all right [Chorus] We can't be friends But I'd like to just pre-etend You cling to your papers and pens Wait until you like me again [Post-Chorus] Wait for your love My love, I'll wait for your love [Verse 2] Me and my truth, we sit in silence Mm Baby girl, it's just me and you 'Cause I don't wanna argue, but I don't wanna bite My tongue, yeah, I think I'd rather die You got me misunderstood But at least I look this good [Chorus] We can't be friends But I'd like to just pre-etend You cling to your papers and pens Wait until you like me again [Post-Chorus] Wait for your love (Love, love, love, love) My love, I'll wait for your love (Love, love, love, love, love) I'll wait for your love (Love, love, love, love) My love, I'll wait for your love (Love, love, love, love, love, love, love) [Bridge] Know that you made me I don't like how you paint me, yet I'm still here hanging Not what you made me It's somethin' like a daydream But I feel so seen in the night So for now, it's only me And maybe that's all I need [Chorus] We can't be friends But I'd like to just pre-etend You cling to your papers and pens Wait until you like me again [Post-Chorus] Wait for your love (Love, love, love, love) My love, I'll wait for your love (Love, love, love, love, love) I'll wait for your love (Love, love, love, love) My love, I'll wait for your love (Love, love, love, love) [Outro] I'll wait for your love (Love, love, love, love) I'll wait for your love (Love, love, love, love) I'll wait for your love (Love, love, love, love) I'll wait for your love (Love, love, love, love, love) I'll wait for your love"
